horizon,model,candidate_id,is_baseline_candidate,params_json,cv_score,cv_score_std,cv_balanced_accuracy,cv_f1,cv_spearman_ic,cv_strategy_sharpe,fit_seconds,error,selected
5,SVC,0,True,"{""C"": 1.0, ""gamma"": ""scale""}",0.5772606041699797,0.024290376532819985,0.5285021782642575,0.5816815928070099,0.08758683865044242,1.1715510723316565,3.4564726799999335,,False
5,SVC,1,False,"{""C"": 0.5, ""gamma"": ""scale""}",0.5849937803275407,0.027133477377879175,0.5330263594449006,0.5845434586198487,0.10041848783717484,1.3230842977658084,3.510810687000003,,True
5,SVC,2,False,"{""C"": 3.0, ""gamma"": ""scale""}",0.5596099487413074,0.013207534057725805,0.5182836415685582,0.5630623546459325,0.07072077644286258,0.9396788251677085,3.4775267340000937,,False
5,SVC,3,False,"{""C"": 3.0, ""gamma"": 0.03}",0.554550350867674,0.017368837988517124,0.5177153090583158,0.5572134268295622,0.07042147946434928,0.8182272163745278,3.5765209759999834,,False
5,SVR,0,True,"{""C"": 5.0, ""epsilon"": 0.001, ""gamma"": ""scale""}",0.5141426467549313,0.02204476143127861,0.5046053925570259,0.4879638935431141,0.013157622946556632,0.37445260891333737,6.693169862000104,,False
5,SVR,1,False,"{""C"": 1.0, ""epsilon"": 0.003, ""gamma"": ""scale""}",0.5210618572679081,0.018019807592742576,0.5093777504319971,0.4967102637651173,0.04252612446454388,0.3618344493673502,2.148745000999952,,False
5,SVR,2,False,"{""C"": 10.0, ""epsilon"": 0.001, ""gamma"": ""scale""}",0.5150090038437677,0.02462905812220393,0.5096994878724013,0.4909526110002742,0.009859469412023897,0.338442635954108,10.393830231000038,,False
5,SVR,3,False,"{""C"": 5.0, ""epsilon"": 0.005, ""gamma"": 0.03}",0.5229661483009523,0.027756877325863134,0.5116414576762081,0.49531862478878286,0.01794361984594874,0.48216889334309276,4.304281955000079,,True
5,Random Forest,0,True,"{""max_depth"": 7, ""min_samples_leaf"": 20, ""n_estimators"": 350}",0.5977819322980641,0.023047983643215943,0.5454291766854255,0.5966520595420166,0.07587041954016822,1.658718592773371,7.465737512000032,,True
5,Random Forest,1,False,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 30, ""n_estimators"": 280}",0.5922090181838721,0.029419232613557673,0.538065245432585,0.5890124884633593,0.09368298075958416,1.5492540164043003,3.652436401999921,,False
5,Random Forest,2,False,"{""max_depth"": 10, ""max_features"": 0.7, ""min_samples_leaf"": 12, ""n_estimators"": 350}",0.5745629937368787,0.0065730438849595915,0.5317837430840282,0.5747135784645678,0.06285785412390046,1.1895623636949983,9.17723848200012,,False
